Type	Code ens.	ECTS	Description
CS	CM11	6	Chimie générale
CS	CM12	6	Chimie physique minérale
CS	CM13	6	Chimie des substances organiques et biologiques
CS	MA90	4	Fonctions d'une variable réelle 1 (en autonomie)
CS	MA91	4	Fonctions d'une variable réelle 2 (en autonomie)
CS	MT01	6	Spécialité mathématiques
CS	MT02	8	Analyse réelle I
CS	MT03	5	Algèbre linéaire I
CS	MT22	6	Fonctions de plusieurs variables réelles et applications
CS	MT23	6	Algèbre linéaire et applications
CS	NF16	6	Algorithmique et structure de données
CS	NF93	6	Sciences de l'informatique
CS	PS04	6	Thermodynamique
CS	PS21	6	Mécanique physique
CS	PS22	6	Dynamique des systèmes et des solides
CS	PS23	6	Ondes et électromagnétisme
CS	PS93	4	Optique géométrique
CS	PS94	4	Electricité
CS	SV01	6	De la biologie générale aux biotechnologies
CS	SY01	6	Éléments de probabilités
CS	TF11	6	Introduction aux phénomènes de transfert
CS	TN06	6	Transmission des efforts en mécanique
CS	UR02	6	Théories et pratiques de l'urbanisme contemporain
CS	BA03	6	Matériaux de construction
CS	BL10	6	Structures et physicochimie des molécules biologiques
CS	BL20	6	Métabolisme et physiologie cellulaire
CS	CM05	6	Thermodynamique chimique
CS	EN21	6	Bases de l'électronique analogique
CS	IA01	6	Intelligence artificielle : représentation
CS	MQ01	6	Éléments de résistance des matériaux
CS	MQ03	6	Mécanique des vibrations - I
CS	MQ17	6	Introduction aux propriétés mécaniques et à l'ingénierie des matériaux
CS	MQ20	6	Introduction à la mécanique des solides et des fluides
CS	MT09	6	Analyse numérique
CS	MT12	6	Techniques mathématiques pour l'ingénieur
CS	NF04	6	Modélisation numérique des problèmes de l'ingénieur
CS	PS15	6	Thermodynamique physique
CS	SY02	7	Méthodes statistiques pour l'ingénieur
CS	SY08	6	Modélisation des systèmes à évènements discrets
CS	SY14	6	Éléments d'automatique
CS	TF01	6	Mécanique des fluides incompressibles
CS	TF06	6	Transfert de chaleur
CS	UB10	6	Thermique urbaine
