Code enseig.,Activité,Jour,Heure début,Heure fin,Semaine,Lib. créneau,Type UV,ECTS
AC01,Cours,Vendredi,10:15,12:15,,C,CS,5
AC01,TD,Lundi,14:15,16:15,,D,CS,5
AC01,TD,Mardi,08:00,10:00,,D,CS,5
AC01,TP,Mercredi,08:00,10:00,,T,CS,5
AC01,TP,Jeudi,14:15,16:15,,T,CS,5
AC02,Cours,Vendredi,10:15,12:15,,C,TM,4
AC02,TD,Lundi,13:15,16:15,,D,TM,4
AC02,TD,Mardi,10:15,13:15,,D,TM,4
AC03,Cours,Mercredi,14:15,16:15,,C,TM,4
AC03,TD,Mardi,10:15,12:15,,D,TM,4
AC03,TD,Mercredi,16:30,18:30,,D,TM,4
AC05,Cours,Jeudi,18:45,20:45,,C,CS,5
AC05,Cours,Mardi,14:15,16:15,,C,CS,5
AC05,TD,Jeudi,08:00,10:00,,D,CS,5
AC05,TD,Vendredi,10:15,12:15,,D,CS,5
AC05,TD,Vendredi,16:30,18:30,,D,CS,5
AC05,TP,Mardi,10:15,13:15,B,T,CS,5
AC05,TP,Mardi,10:15,13:15,A,T,CS,5
AC05,TP,Mercredi,16:30,19:30,,T,CS,5
AC05,TP,Vendredi,13:00,16:00,A,T,CS,5
AC05,TP,Vendredi,13:00,16:00,B,T,CS,5
AI01,Cours,Lundi,16:30,18:30,,C,CS,6
AI01,TD,Mercredi,10:15,12:15,,D,CS,6
AI01,TD,Mercredi,16:30,18:30,,D,CS,6
AI01,TP,Jeudi,10:15,12:15,,T,CS,6
AI01,TP,Jeudi,16:30,18:30,,T,CS,6
AI02,Cours,Mercredi,08:00,10:00,,C,CS,4
AI02,TD,Jeudi,16:30,18:30,,D,CS,4
AI02,TP,Vendredi,08:00,10:00,B,T,CS,4
AI02,TP,Vendredi,08:00,10:00,A,T,CS,4
AI03,Cours,Mardi,08:00,12:00,,C,,
AI04,Cours,Jeudi,10:15,12:15,,C,CS,4
AI04,Cours,Vendredi,14:15,16:15,,C,CS,4
AI05,Cours,Mercredi,10:15,13:15,,C,CS,5
AI05,TD,Lundi,14:15,16:15,,D,CS,5
AI05,TD,Vendredi,08:00,10:00,,D,CS,5
AI09,Cours,Lundi,08:00,10:00,,C,CS,5
AI09,TD,Lundi,14:15,16:15,,D,CS,5
AI10,Cours,Mardi,16:30,19:30,,C,CS,5
AI10,TD,Mardi,14:15,16:15,,D,CS,5
AI10,TD,Mardi,10:15,12:15,,D,CS,5
AI11,Cours,Mercredi,16:30,18:30,,C,,
AI11,TD,Jeudi,14:15,16:15,,D,,
AI12,Cours,Mardi,08:00,10:00,,C,,
AI12,TD,Mercredi,16:30,19:30,,D,,
AI13,Cours,Lundi,16:30,18:30,,C,,
AI13,Cours,Vendredi,16:30,18:30,,C,,
AI14,Cours,Jeudi,08:00,10:00,,C,,
AI14,TD,Jeudi,10:15,13:15,,D,,
AI15,Cours,Lundi,14:15,16:15,,C,,
AI15,TD,Mardi,14:15,16:15,,D,,
AI22,Cours,Vendredi,08:00,10:00,,C,TM,5
AI22,TD,Mardi,08:00,12:00,,D,TM,5
AI23,Cours,Jeudi,08:00,10:00,,C,TM,5
AI23,TD,Jeudi,13:15,16:15,,D,TM,5
AI24,Cours,Mardi,16:30,18:30,,C,TM,4
AI24,Cours,Mercredi,16:30,18:30,,C,TM,4
AI29,Cours,Vendredi,10:15,12:15,,C,CS,4
AI29,TD,Jeudi,16:30,18:30,,D,CS,4
AI29,TP,Mercredi,08:00,10:00,A,T,CS,4
AI29,TP,Mercredi,08:00,10:00,B,T,CS,4
AI30,Cours,Mardi,16:30,18:30,,C,,
AI30,TD,Lundi,16:30,19:30,,D,,
AI32,Cours,Jeudi,10:15,12:15,,C,,
AI32,TD,Mardi,16:30,18:30,,D,,
AI32,TP,Mercredi,14:30,18:30,B,T,,
AI32,TP,Mercredi,14:30,18:30,A,T,,
AI34,Cours,Mardi,10:15,12:15,,C,,
AI34,TD,Mardi,14:15,16:15,,D,,
AI34,TP,Vendredi,14:15,16:15,,T,,
AI35,Cours,Vendredi,16:30,18:00,,C,,
AI35,TD,Vendredi,08:00,12:00,,D,,
AI36,Cours,Mercredi,14:15,16:15,,C,,
AI36,TD,Jeudi,14:30,18:30,,D,,
AI37,Cours,Vendredi,10:15,12:15,,C,,
AI37,TD,Vendredi,13:15,16:15,,D,,
AI38,Cours,Jeudi,10:15,12:15,,C,,
AI38,TD,Jeudi,14:15,16:15,,D,,
AM01,Cours,Vendredi,16:30,18:00,,C,TM,6
AM01,TD,Lundi,08:00,12:00,,D,TM,6
AM01,TD,Mercredi,08:00,12:00,,D,TM,6
AM02,Cours,Jeudi,08:00,12:00,,C,TM,6
AM02,Cours,Lundi,16:30,19:30,,C,TM,6
AM03,Cours,Mardi,16:30,18:00,,C,CS,4
AM03,TD,Jeudi,10:15,13:15,,D,CS,4
AM03,TD,Jeudi,16:30,19:30,,D,CS,4
AM04,Cours,Mardi,14:15,16:15,,C,CS,5
AM04,TD,Jeudi,08:00,10:00,,D,CS,5
AM04,TD,Vendredi,08:00,10:00,,D,CS,5
AM04,TP,Mardi,08:00,12:00,,T,CS,5
AM04,TP,Jeudi,14:30,18:30,,T,CS,5
AM08,Cours,Lundi,08:00,10:00,,C,CS,4
AM08,TD,Mardi,10:15,13:15,,D,CS,4
AM11,Cours,Vendredi,08:00,10:00,,C,,
AM11,TD,Mardi,10:15,12:15,,D,,
AM11,TD,Jeudi,10:15,12:15,,D,,
AM11,TP,Lundi,14:15,16:15,,T,,
AM11,TP,Lundi,16:30,18:30,,T,,
AM11,TP,Jeudi,08:00,10:00,,T,,
AM14,Cours,Lundi,16:30,18:30,,C,CS,5
AM14,Cours,Mercredi,14:15,18:15,,C,CS,5
AM14,TD,Mardi,08:00,10:00,,D,CS,5
AM14,TD,Mardi,14:15,16:15,,D,CS,5
AM15,Cours,Mercredi,08:00,10:00,,C,TM,5
AM15,TD,Mercredi,10:15,13:15,,D,TM,5
AM15,TP,Jeudi,14:30,18:30,A,T,TM,5
AM15,TP,Jeudi,14:30,18:30,B,T,TM,5
AM20,Cours,Lundi,14:15,16:15,,C,,
AM20,TD,Vendredi,08:00,10:00,,D,,
AM21,Cours,Lundi,16:30,18:30,,C,,
AM21,TD,Mardi,08:00,10:00,,D,,
AM22,Cours,Jeudi,10:15,12:15,,C,,
AM22,TD,Vendredi,16:30,19:30,,D,,
AM23,Cours,Jeudi,14:30,18:30,,C,,
AM23,Cours,Vendredi,08:00,10:00,,C,,
AM25,Cours,Mercredi,14:15,16:15,,C,,
AM25,TD,Mardi,10:15,12:15,,D,,
AM27,Cours,Jeudi,08:00,12:00,,C,TM,4
AM27,TP,Mercredi,08:00,10:00,,T,TM,4
AM29,Cours,Mardi,08:30,10:00,,C,,
AM29,TD,Vendredi,14:30,18:30,,D,,
AM41,TD,Jeudi,08:00,09:00,,D,,
AM41,TP,Jeudi,09:00,12:00,,T,,
AM42,Cours,Lundi,14:15,16:15,,C,,
AM42,TD,Lundi,16:30,18:30,,D,,
AM43,Cours,Mardi,08:00,10:00,,C,,
AM43,TD,Vendredi,13:00,16:00,,D,,
AM51,Cours,Lundi,14:15,16:15,,C,,
AM51,TD,Lundi,16:30,18:30,,D,,
AM51,TP,Jeudi,14:30,18:30,,T,,
AP00,Atelier,Jeudi,08:30,12:30,,D,TM,6
AP00,Atelier,Jeudi,13:30,18:00,,D,TM,6
AP00,Atelier,Jeudi,08:30,12:30,,D,TM,6
AP00,Atelier,Jeudi,13:30,18:00,,D,TM,6
AP00,Atelier,Jeudi,08:30,12:30,,D,TM,6
AP00,Atelier,Jeudi,13:30,18:00,,D,TM,6
AP51,Atelier,Jeudi,14:30,18:30,,D,,
AP51,Atelier,Lundi,08:00,12:00,,D,,
AP52,Atelier,Lundi,14:30,18:30,,D,,
AP52,Atelier,Mercredi,08:00,12:00,,D,,
AP53,Atelier,Mardi,09:00,13:00,,D,,
AP53,Atelier,Mardi,14:30,18:30,,D,,
AR03,Cours,Mardi,09:00,10:00,,C,TSH,4
AR03,TD,Mardi,10:15,12:15,,D,TSH,4
AR04,Cours,Jeudi,10:15,12:15,,C,TSH,4
AR04,TD,Jeudi,14:15,16:15,,D,TSH,4
AR04,TD,Jeudi,16:30,18:30,,D,TSH,4
AV01,Cours,Vendredi,12:45,13:45,,C,TSH,4
AV01,TD,Vendredi,08:00,10:00,,D,TSH,4
AV01,TD,Vendredi,10:15,12:15,,D,TSH,4
BA03,Cours,Mercredi,10:15,12:15,,C,CS,6
BA03,TD,Lundi,10:15,12:15,,D,CS,6
BA03,TD,Mercredi,08:00,10:00,,D,CS,6
BA04,Cours,Lundi,08:00,10:00,,C,TM,6
BA04,TD,Lundi,10:15,12:15,,D,TM,6
BA04,TD,Lundi,14:15,16:15,,D,TM,6
BA04,TD,Lundi,16:30,18:30,,D,TM,6
BA05,Cours,Mercredi,14:15,16:15,,C,,
BA05,TD,Mercredi,16:30,18:30,,D,,
BA06,Cours,Vendredi,08:00,10:00,,C,,
BA06,TD,Vendredi,10:15,12:15,,D,,
BA08,Cours,Lundi,08:00,10:00,,C,,
BA08,TD,Lundi,10:15,12:15,,D,,
BA10,Cours,Mercredi,08:00,10:00,,C,,
BA10,TD,Mercredi,10:15,12:15,,D,,
BI02,Cours,Mardi,16:30,18:30,,C,,
BI02,TD,Lundi,14:15,16:15,,D,,
BL10,Cours,Lundi,14:15,16:15,,C,CS,6
BL10,TD,Lundi,16:30,18:30,,D,CS,6
BL10,TD,Mardi,10:15,12:15,,D,CS,6
BL10,TD,Mercredi,10:15,12:15,,D,CS,6
BL10,TP,Mercredi,14:30,18:30,B,T,CS,6
BL10,TP,Mercredi,14:30,18:30,A,T,CS,6
BL10,TP,Jeudi,08:00,12:00,A,T,CS,6
BL10,TP,Jeudi,08:00,12:00,B,T,CS,6
BL10,TP,Vendredi,14:30,18:30,,T,CS,6
BL16,Cours,Lundi,16:30,18:30,,C,,
BL16,TD,Mercredi,14:15,16:15,,D,,
BL17,Cours,Mercredi,16:30,18:30,,C,,
BL17,TD,Mercredi,10:15,12:15,,D,,
BL17,TP,Jeudi,14:15,18:15,,T,,
BL20,Cours,Lundi,10:15,12:15,,C,CS,6
BL20,TD,Mardi,14:15,16:15,,D,CS,6
BL20,TD,Mardi,16:30,18:30,,D,CS,6
