Code enseig.,Activité,Jour,Heure début,Heure fin,Semaine,Type créneau,Lib. créneau
AC01,Cours,Vendredi,10:15,12:15,,C,
AC01,TD,Lundi,14:15,16:15,,D,1
AC01,TD,Mardi,08:00,10:00,,D,2
AC01,TP,Mercredi,08:00,10:00,,T,1
AC01,TP,Jeudi,14:15,16:15,,T,2
AC02,Cours,Vendredi,10:15,12:15,,C,
AC02,TD,Lundi,13:15,16:15,,D,1
AC02,TD,Mardi,10:15,13:15,,D,2
AC03,Cours,Mercredi,14:15,16:15,,C,
AC03,TD,Mardi,10:15,12:15,,D,1
AC03,TD,Mercredi,16:30,18:30,,D,2
AC05,Cours,Jeudi,18:45,20:45,,C,
AC05,Cours,Mardi,14:15,16:15,,C,
AC05,TD,Jeudi,08:00,10:00,,D,1
AC05,TD,Vendredi,10:15,12:15,,D,2
AC05,TD,Vendredi,16:30,18:30,,D,3
AC05,TP,Mardi,10:15,13:15,B,T,1
AC05,TP,Mardi,10:15,13:15,A,T,1
AC05,TP,Mercredi,16:30,19:30,,T,2
AC05,TP,Vendredi,13:00,16:00,A,T,3
AC05,TP,Vendredi,13:00,16:00,B,T,3
AI01,Cours,Lundi,16:30,18:30,,C,
AI01,TD,Mercredi,10:15,12:15,,D,1
AI01,TD,Mercredi,16:30,18:30,,D,2
AI01,TP,Jeudi,10:15,12:15,,T,1
AI01,TP,Jeudi,16:30,18:30,,T,2
AI02,Cours,Mercredi,08:00,10:00,,C,
AI02,TD,Jeudi,16:30,18:30,,D,
AI02,TP,Vendredi,08:00,10:00,B,T,
AI02,TP,Vendredi,08:00,10:00,A,T,
AI03,Cours,Mardi,08:00,12:00,,C,
AI04,Cours,Jeudi,10:15,12:15,,C,
AI04,Cours,Vendredi,14:15,16:15,,C,
AI05,Cours,Mercredi,10:15,13:15,,C,
AI05,TD,Lundi,14:15,16:15,,D,1
AI05,TD,Vendredi,08:00,10:00,,D,2
AI09,Cours,Lundi,08:00,10:00,,C,
AI09,TD,Lundi,14:15,16:15,,D,
AI10,Cours,Mardi,16:30,19:30,,C,
