
Code	enseig.	Activité	Jour	Heure	début	Heure	fin	Semaine	Locaux	Type	créneau	Lib.	créneau						
AC01	Cours	Vendredi	10:15:00 AM	12:15:00 PM	BF	A	104	Groupe	actif	C									
AC01	TD	Lundi	02:15:00 PM	04:15:00 PM	BF	A	410	Groupe	actif	D	1								
AC01	TD	Mardi	08:00:00 AM	10:00:00 AM	BF	A	410	Groupe	actif	D	2								
AC01	TP	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	404	Groupe	actif	T	1								
AC01	TP	Jeudi	02:15:00 PM	04:15:00 PM	BF	A	417	Groupe	actif	T	2								
AC02	Cours	Vendredi	10:15:00 AM	12:15:00 PM	BF	A	201	Groupe	actif	C									
AC02	TD	Lundi	01:15:00 PM	04:15:00 PM	SI	CT	112	Groupe	actif	D	1								
AC02	TD	Mardi	10:15:00 AM	01:15:00 PM	SI	CT	112	Groupe	actif	D	2								
AC03	Cours	Mercredi	02:15:00 PM	04:15:00 PM	BF	A	205	Groupe	actif	C									
AC03	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	A	304	Groupe	actif	D	1								
AC03	TD	Mercredi	04:30:00 PM	06:30:00 PM	BF	A	304	Groupe	actif	D	2								
AC05	Cours	Jeudi	06:45:00 PM	08:45:00 PM	BF	A	100	Groupe	actif	C									
AC05	Cours	Mardi	02:15:00 PM	04:15:00 PM	BF	A	205	Groupe	actif	C									
AC05	TD	Jeudi	08:00:00 AM	10:00:00 AM	BF	B	217	Groupe	actif	D	1								
AC05	TD	Vendredi	10:15:00 AM	12:15:00 PM	BF	B	217	Groupe	actif	D	2								
AC05	TD	Vendredi	04:30:00 PM	06:30:00 PM	BF	B	217	Groupe	actif	D	3								
AC05	TP	Mardi	10:15:00 AM	01:15:00 PM	semaine	B	BF	B	116	Groupe	actif	T	1						
AC05	TP	Mardi	10:15:00 AM	01:15:00 PM	semaine	A	BF	B	116	Groupe	actif	T	1						
AC05	TP	Mercredi	04:30:00 PM	07:30:00 PM	BF	B	116	Groupe	actif	T	2								
AC05	TP	Vendredi	01:00:00 PM	04:00:00 PM	semaine	A	BF	B	114	Groupe	actif	T	3						
AC05	TP	Vendredi	01:00:00 PM	04:00:00 PM	semaine	B	BF	B	114	Groupe	actif	T	3						
AE01	Activité	annexe	Lundi	12:30:00 PM	02:00:00 PM	BF	A	405	Groupe	actif	D	1							
AE01	Activité	annexe	Mardi	12:30:00 PM	02:00:00 PM	BF	A	405	Groupe	actif	D	2							
AE01	Activité	annexe	Mercredi	12:30:00 PM	02:00:00 PM	BF	A	405	Groupe	actif	D	3							
AE01	Activité	annexe	Jeudi	12:30:00 PM	02:00:00 PM	BF	A	405	Groupe	actif	D	4							
AE02	Activité	annexe	Lundi	10:15:00 AM	12:15:00 PM	semaine	A	BF	A	314	Groupe	actif	D	1					
AE02	Activité	annexe	Lundi	10:15:00 AM	12:15:00 PM	semaine	B	BF	A	314	Groupe	actif	D	1					
AE02	Activité	annexe	Lundi	12:15:00 PM	02:15:00 PM	semaine	A	BF	A	314	Groupe	actif	D	2					
AE02	Activité	annexe	Lundi	12:15:00 PM	02:15:00 PM	semaine	B	BF	A	314	Groupe	actif	D	2					
AE03	Activité	annexe	Lundi	12:30:00 PM	02:00:00 PM	semaine	B	BF	A	100	Groupe	actif	D						
AE03	Activité	annexe	Lundi	12:30:00 PM	02:00:00 PM	semaine	A	BF	A	100	Groupe	actif	D						
AE12	Activité	annexe	Lundi	10:15:00 AM	12:15:00 PM	semaine	B	BF	A	314	Groupe	actif	D	1					
AE12	Activité	annexe	Lundi	10:15:00 AM	12:15:00 PM	semaine	A	BF	A	314	Groupe	actif	D	1					
AE12	Activité	annexe	Lundi	12:15:00 PM	02:15:00 PM	semaine	A	BF	A	314	Groupe	actif	D	2					
AE12	Activité	annexe	Lundi	12:15:00 PM	02:15:00 PM	semaine	B	BF	A	314	Groupe	actif	D	2					
AI01	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	A	205	Groupe	actif	C									
AI01	TD	Mercredi	10:15:00 AM	12:15:00 PM	BF	A	309	Groupe	actif	D	1								
AI01	TD	Mercredi	04:30:00 PM	06:30:00 PM	BF	A	309	Groupe	actif	D	2								
AI01	TP	Jeudi	10:15:00 AM	12:15:00 PM	BF	A	505,	BF	A	309	Groupe	actif	T	1					
AI01	TP	Jeudi	04:30:00 PM	06:30:00 PM	BF	A	309,	BF	A	505	Groupe	actif	T	2					



AI02	Cours	Mercredi	08:00:00 AM	10:00:00 AM	BF	A	205	Groupe	actif	C									
AI02	TD	Jeudi	04:30:00 PM	06:30:00 PM	BF	A	304	Groupe	actif	D									
AI02	TP	Vendredi	08:00:00 AM	10:00:00 AM	semaine	B	BF	B	217	Groupe	actif	T							
AI02	TP	Vendredi	08:00:00 AM	10:00:00 AM	semaine	A	BF	B	217	Groupe	actif	T							
AI03	Cours	Mardi	08:00:00 AM	12:00:00 PM	BF	B	100	Groupe	actif	C									
AI04	Cours	Jeudi	10:15:00 AM	12:15:00 PM	PG	J	216,	BF	A	403	Groupe	actif	C						
AI04	Cours	Vendredi	02:15:00 PM	04:15:00 PM	PG	J	216,	BF	A	403	Groupe	actif	C						
AI05	Cours	Mercredi	10:15:00 AM	01:15:00 PM	BF	A	318A	Groupe	actif	C									
AI05	TD	Lundi	02:15:00 PM	04:15:00 PM	BF	A	309	Groupe	actif	D	1								
AI05	TD	Vendredi	08:00:00 AM	10:00:00 AM	BF	A	309	Groupe	actif	D	2								
AI09	Cours	Lundi	08:00:00 AM	10:00:00 AM	BF	A	106	Groupe	actif	C									
AI09	TD	Lundi	02:15:00 PM	04:15:00 PM	BF	B	113,	BF	A	403	Groupe	actif	D						
AI10	Cours	Mardi	04:30:00 PM	07:30:00 PM	BF	A	206	Groupe	actif	C									
AI10	TD	Mardi	02:15:00 PM	04:15:00 PM	BF	B	217,	BF	A	309	Groupe	actif	D	1					
AI10	TD	Mardi	10:15:00 AM	12:15:00 PM	BF	B	217,	BF	A	309	Groupe	de	réserve	D	2				
AI11	Cours	Mercredi	04:30:00 PM	06:30:00 PM	BF	A	106	Groupe	actif	C									
AI11	TD	Jeudi	02:15:00 PM	04:15:00 PM	BF	A	306	Groupe	actif	D									
AI12	Cours	Mardi	08:00:00 AM	10:00:00 AM	BF	A	205	Groupe	actif	C									
AI12	TD	Mercredi	04:30:00 PM	07:30:00 PM	BF	A	505,	BF	A	504	Groupe	actif	D						
AI13	Cours	Lundi	04:30:00 PM	06:30:00 PM	BF	B	100	Groupe	actif	C									
AI13	Cours	Vendredi	04:30:00 PM	06:30:00 PM	BF	B	100	Groupe	actif	C									
AI14	Cours	Jeudi	08:00:00 AM	10:00:00 AM	BF	A	206	Groupe	actif	C									
AI14	TD	Jeudi	10:15:00 AM	01:15:00 PM	BF	A	304	Groupe	actif	D									
